province,population_density
Aketi,12.98235731
Ango,4.801138238
Bili (Bas-Uele),3.651851253
Bondo,19.18611899
Buta,27.75855724
Ganga,25.73816812
Likati,12.45385004
Monga,19.2474198
Poko,11.72630076
Titule,8.704940683
Viadana,49.71758982
Aba,62.19173954
Boma Mangbetu,150.6040805
Doruma,5.501834734
Dungu,16.29832326
Faradje,32.26107395
Gombari,13.66639798
Isiro,157.1731904
Niangara,18.80900208
Pawa,164.1293146
Rungu,39.45874786
Wamba,32.99596632
Makoro,54.95402896
Watsa,68.41348186
Basankusu,20.33727353
Bikoro,43.10944553
Bolenge,53.49104917
Bolomba,18.55983007
Bomongo,12.54876118
Djombo,20.23526061
Iboko,36.73956247
Ingende,27.50149888
Irebu,13.19946924
Lilanga Bobangi,6.040884501
Lotumbe,8.935040797
Lukolela,26.46384236
Makanza,14.63805795
Mampoko,13.1349036
Mbandaka,161.8322004
Monieka,8.441844972
Ntondo,19.18623652
Wangata,1102.562037
Kambove,90.93001592
Kapolowe,45.84274553
Kikula,2787.597052
Kilela Balanda,4.942199984
Likasi,3981.008839
Mitwaba,8.869952771
Mufunga Sampwe,9.152107984
Panda,717.5338257
Kafubu,20.87828703
Kamalondo,12735.45465
Kampemba,7473.621939
Kasenga,24.55885785
Kashobwe,15.2831782
Katuba,11013.13441
Kenya,1522.164666
Kilwa,21.63493371
Kipushi,86.50988189
Kisanga,1700.071376
Kowe,7445.191864
Lubumbashi,3254.31825
Lukafu,10.03635844
Mumbunda,3624.350935
Pweto,14.59562025
Ruashi,2722.359467
Sakania,18.07169051
Tshamilemba,10337.48947
Vangu,2407.765914
Bukama,55.02401753
Butumba,18.23042529
Kabondo Dianda,53.70532865
Kinkondja,35.23258588
Lwamba,26.69362303
Malemba Nkulu,169.5768452
Mukanga,48.31891251
Mulongo,48.33763439
Baka,216.9663415
Kabongo,38.59830807
Kamina,40.42901493
Kaniama,20.83577749
Kayamba,27.79846765
Kinda,3.483724292
Kitenge,31.89923326
Songa,7.503332806
Adi,264.7050865
Adja,180.2161061
Angumu,418.9595995
Ariwara,472.5521565
Aru,339.2396335
Aungba,171.0630753
Biringi,83.07844808
Kambala,113.6355897
Laybo,143.9338564
Logo,557.0637992
Mahagi,667.0210553
Nyarambe,566.105483
Rimba,475.5410984
Bambu,293.7551135
Boga,73.11513103
Bunia,4336.145734
Damas,53.18510803
Drodro,349.7340332
Fataki,374.843917
Gety,86.02993139
Jiba,218.6613381
Kilo,107.5461996
Komanda,69.50135954
Linga,262.3444074
Lita,228.6282537
Lolwa,8.680921156
Mambasa,9.383051198
Mandima,45.9588925
Mangala,162.2684405
Mongbwalu,49.26880992
Nia Nia,12.26201749
Nizi,671.566862
Nyankunde,100.8724535
Rethy,324.2262176
Rwampara,378.3922622
Tchomia,228.7794806
Bulape,19.47562231
Dekese,6.829996663
Ilebo,325.5791205
Kakenge,45.64778849
Luebo,56.39552762
Mikope,24.26568233
Mushenge,19.89469074
Mweka,101.2869603
Ndjoko Mpunda,61.2808366
Banga Lubaka,22.06939076
Kalonda Ouest,98.53938687
Kamonia,49.13155788
Kamwesha,82.12230935
Kanzala,479.2272307
Kitangwa,21.53443038
Mutena,53.1556243
Nyanga,58.99253715
Tshikapa,211.0186807
Bena Leka,67.83936103
Bena Tshadi,30.03280633
Bilomba,105.882599
Bobozo,550.1418899
Bunkonde,60.03802294
Demba,100.6489297
Dibaya,116.2929357
Kananga,1233.07333
Katende,48.72688187
Katoka,3287.610967
Lubondaie,54.30968756
Lubunga (Kasaï-Central),45.65751627
Lukonga,322.1188156
Mikalayi,81.35678077
Muetshi,46.66961314
Mutoto,56.1948136
Ndekesha,59.97016235
Ndesha,835.4736213
Tshikaji,439.6076834
Tshikula,64.55581872
Kalomba,73.440746
Luambo,58.94676022
Luiza,82.66059754
Masuika,135.0353112
Tshibala,84.66803189
Yangala,30.48796023
Bibanga,125.7457813
Bipemba,13200.61173
Bonzola,13411.61063
Cilundu,173.1470707
Citenge,772.9370397
Dibindi,30606.01993
Diulu,22322.27463
Kabeya Kamwanga,104.7217438
Kansele,33047.06248
Kasansa,238.6478172
Lubilanji,35903.95471
Lukelenge,11051.6963
Miabi,307.86279
Mpokolo,3798.325456
Mukumbi,134.4818286
Muya,16656.31023
Nzaba,7821.669726
Tshilenge,486.0746121
Tshishimbi,274.6888873
Bumbu,33223.22616
Kalamu 1,29356.15575
Kalamu 2,29368.05227
Kasa Vubu,26033.5464
Kingabwa,19435.00651
Kisenso,24790.71691
Lemba,24891.01122
Limete,22229.8993
Makala,30565.70039
Matete,30030.08488
Ngaba,34865.51641
Ngiri Ngiri,33088.735
Biyela,14235.42783
Kikimi,15280.70572
Kimbanseke,13227.5655
Kingasani,32923.4001
Maluku 1,102.6851194
Maluku 2,37.17163371
Masina 1,25022.46662
Masina 2,24715.00755
Ndjili,28772.43745
Nsele,966.9773888
Bandalungwa,31496.02658
Barumbu,28307.51253
Binza Meteo,19960.11856
Binza Ozone,17028.75495
Gombe,18596.50913
Kinshasa,32019.87825
Kintambo,32027.88832
Kokolo,22589.69382
Lingwala,29686.73581
Mont Ngafula 1,2398.789173
Mont Ngafula 2,5620.783344
Police,16768.35035
Selembao,23843.64939
Boma,3487.718806
Boma Bungu,52.9400079
Kangu,266.8448698
Kinkonzi,129.3889079
Kitona,53.75711257
Kizu,386.6236152
Kuimba,228.6676723
Lukula,158.2649831
Muanda,443.651956
Tshela,230.0043778
Vaku,174.9227661
Inga,122.5627294
Kibunzi,33.23846896
Luozi,80.95979648
Mangembo,66.58831202
Matadi,2938.306775
Nsona Mpangu,53.86434648
Nzanza,11183.49439
Seke Banza,148.7864906
Boko Kivulu,165.1423397
Gombe Matadi,65.9314336
Kimpangu,110.3131833
Kimpese,103.1446912
Kimvula,44.39672456
Kisantu,314.0361481
Kwilu Ngongo,174.3508908
Massa,121.5337264
Mbanza Ngungu,570.0003364
Ngidinga,62.28398491
Nselo,39.33441282
Sona Bata,56.3313154
Kahemba,20.03671618
Kajiji,12.66536775
Kisanji,22.14857941
Panzi,28.86695493
Tembo,19.01565112
Boko,33.00849506
Feshi,29.67650482
Kasongo Lunda,49.00469611
Kenge,92.55652844
Kimbao,46.21903085
Kitenda,32.68196066
Mwela Lembwa,28.36230782
Popokabaka,45.94638411
Wamba Lwadi,83.08075274
Bagata,48.96143386
Bandundu,197.9652382
Djuma,106.7016261
Kikongo,38.53781133
Sia,63.85420267
Vanga,204.5577833
Bulungu,140.8126827
Gungu,86.92231364
Idiofa,119.4695906
Ipamu,115.6065203
Kikwit Nord,3124.49248
Kikwit Sud,3704.915227
Kimputu,79.98639989
Kingandu,40.04224312
Koshibanda,76.42339628
Lusanga,115.878448
Masi Manimba,117.8368457
Moanza,47.47417722
Mokala,99.67477627
Mosango,84.58051749
Mukedi,77.5097037
Mungindu,71.47733118
Pay Kongila,76.90695681
Yasa Bonga,141.4720668
Kabinda,65.76588929
Kalambayi Kabanga,41.25952949
Kalonda Est,30.31747042
Kamana,17.46333319
Lubao,22.04507904
Ludimbi Lukula,26.26880712
Mulumba,297.6861241
Ngandajika,251.5192452
Tshofa,27.80294604
Kalenda,55.06928802
Kamiji,63.31554388
Kanda Kanda,76.70626776
Luputa,89.00107785
Makota,4850.137984
Mweneditu,562.2421221
Wikong,161.5346802
Dilolo,20.65292885
Kafakumba,9.675142159
Kalamba,9.299771578
Kapanga,13.29488596
Kasaji,15.47849061
Sandoa,11.20901934
Bunkeya,18.92580651
Dilala,625.4938005
Fungurume,100.2614081
Kanzenze,24.17231752
Lualaba,36.85392636
Lubudi,9.758191891
Manika,4352.913976
Mutshatsha,2.846188868
Banzow Moke,34.8384084
Inongo,17.09189278
Kiri,14.02145651
Mimia,2.86479695
Ntandembelo,41.76958376
Oshwe,11.08399074
Pendjwa,20.73374182
Yumbi,66.75206685
Bokoro,34.16289364
Bolobo,40.9850709
Bosobe,53.20095404
Kwamouth,13.06346936
Mushie,21.84354252
Nioki,37.32329743
Kabambare,9.291937775
Kampene,33.32054203
Kasongo,123.9745617
Kibombo,15.93721257
Kunda,47.73358753
Lusangi,34.04102566
Saramabila,71.50149404
Tunda,5.11084806
Alunguli,316.9415565
Kailo,8.657005599
Kalima,50.59857479
Kindu,1380.849316
Pangi,18.34005883
Samba,22.37044984
Ferekeni,8.819812215
Lubutu,13.8068576
Obokote,10.47662663
Punia,15.06072584
Bumba,1046.551853
Lolo,61.28257101
Yamaluka,87.37751234
Yambuku,59.04153319
Yamongili,48.34008078
Binga,44.85025779
Bongandanga,7.364224463
Boso Manzi,31.74648808
Boso Mondanda,27.19274688
Bosondjo,30.83415427
Lisala,66.23011203
Pimu,38.40117925
Alimbongo,80.12162866
Beni,583.6948142
Biena,117.8084922
Butembo,3648.622162
Kalunguta,217.2914531
Kamango,120.8094477
Katwa,7809.377799
Kyondo,287.2096961
Lubero,171.4876267
Mabalako,224.4277532
Manguredjipa,9.597074312
Masereka,859.910963
Musienene,272.4130578
Mutwanga,164.669385
Oicha,217.4076763
Vuhovi,380.4127064
Bambo,160.9253845
Binza,158.1942831
Birambizo,247.9665273
Goma,8413.395781
Itebero,16.7048976
Karisimbi,8149.335625
Katoyi,272.0022751
Kayna,306.8177654
Kibirizi,136.2229444
Kibua,30.29788129
Kirotshe,585.2263874
Masisi,292.0490903
Mweso,285.7696744
Nyiragongo,622.7573975
Pinga,12.6220404
Rutshuru,444.1716636
Rwanguba,435.8302307
Walikale,26.91159022
Abuzi,12.77890408
Bili (Nord-Ubangi),33.16009617
Bosobolo,32.15119445
Businga,26.28656086
Gbadolite,90.6145369
Karawa,103.0120326
Loko,28.75779831
Mobayi Mbongo,20.73379361
Wapinda,29.01340722
Wasolo,84.13654086
Yakoma,112.9120217
Bena Dibele,25.18434286
Djalo Ndjeka,44.63417275
Katako Kombe,12.41326889
Kole,15.86740029
Lodja,219.7258226
Lomela,9.167437452
Lusambo,25.09383851
Omendjadi,33.78481089
Ototo,42.56747045
Tshudi Loto,6.478404048
Vanga Kete,57.38240161
Dikungu,35.69034475
Minga,21.56271976
Pania Mutombo,14.35612818
Tshumbe,31.29872015
Wembo Nyama,39.66701283
Bagira,7891.192239
Bunyakiri,98.66479938
Ibanda,13572.99598
Idjwi,304.3943015
Kabare,1092.44271
Kadutu,19287.64046
Kalehe,314.4737866
Kalole,25.35293155
Kalonge,142.4623517
Kamituga,103.4677301
Kaniola,184.2352071
Katana,655.3507236
Kaziba,289.2872058
Kitutu,53.05839011
Lulingu,23.11661784
Minova,341.5442205
Miti Murhesa,722.6514521
Mubumbano,594.2693868
Mulungu,16.07592308
Mwana,466.604326
Mwenga,49.01668229
Nyangezi,736.6799969
Nyantende,2930.279659
Shabunda,49.68905914
Walungu,1100.067434
Fizi,111.9350811
Haut Plateau,51.88034702
Itombwe,21.26397075
Kimbi Lulenge,45.2087974
Lemera,299.2777717
Minembwe,63.83004446
Nundu,137.2151915
Ruzizi,345.6592216
Uvira,1265.931227
Bangabola,82.06814497
Bogosenubea,45.18708591
Bokonzi,33.62619714
Bominenge,75.97827378
Boto,124.7230633
Budjala,49.3996771
Bulu,60.22723602
Bwamanda,124.3469709
Gemena,313.5710389
Kungu,71.37513158
Libenge,33.44682413
Mawuya,47.60226016
Mbaya,68.75291667
Ndage,59.74460074
Tandala,163.1271361
Zongo,132.246775
Bafwagbogbo,5.28740726
Bafwasende,7.393801441
Banalia,12.18652807
Bengamisa,28.74656154
Kabondo,254.467756
Lowa,5.442266864
Lubunga (Tshopo),166.30462
Makiso Kisangani,2612.01303
Mangobo,10516.16428
Opala,10.37430371
Opienge,2.302927227
Tshopo,76.6071233
Ubundu,10.14487391
Wanierukula,18.43845007
Yahisuli,40.19643147
Yakusu,48.32950624
Yaleko,26.88689309
Basali,5.951841081
Basoko,45.15705527
Isangi,69.34989168
Yabaondo,53.30230126
Yahuma,11.56818659
Yalimbongo,19.21939681
Befale,13.30096081
Boende,30.67919501
Djolu,37.53010964
Lingomo,21.77237124
Mompono,24.67191804
Monkoto,6.491311078
Wema,8.953615761
Bokungu,26.82822105
Busanga,22.18291258
Ikela,11.92070305
Mondombe,30.27037019
Yalifafu,16.47004499
Ankoro,22.63703244
Kabalo,20.55179186
Kalemie,33.60256312
Kansimba,14.74891648
Kiambi,6.845707614
Kongolo,44.19201336
Manono,54.20460132
Mbulula,72.96843257
Moba,42.38689056
Nyemba,41.81391304
Nyunzu,15.33762925
